Date,Open,High,Low,Close,Adj Close,Volume
1/1/2009,7.68619,8.775358,7.042354,8.431646,8.431646,4411742543
1/2/2009,8.326042,9.489431,8.207984,8.418197,8.418197,4480141965
1/3/2009,8.302132,8.94547,7.209228,8.669006,8.669006,4576100295
1/4/2009,8.562406,10.056057,8.483452,9.862284,9.862284,3526484770
1/5/2009,9.838871,10.391799,9.581337,10.391799,10.391799,2289963292
1/6/2009,10.429159,11.141738,10.009731,10.500392,10.500392,2829004207
1/7/2009,10.565398,11.275238,9.862533,11.034889,11.034889,2931635455
1/8/2009,11.176607,11.814466,10.923058,11.49865,11.49865,1956851371
1/9/2009,11.449086,12.627668,11.272498,12.349959,12.349959,2050842356
1/10/2009,12.278975,13.988567,12.019946,13.35295,13.35295,3098550758
1/11/2009,13.37686,14.621694,13.156686,14.520573,14.520573,1642381057
1/12/2009,14.648344,15.59131,14.42543,15.441621,15.441621,1711202055
1/1/2010,15.61522,15.678981,13.091181,13.199027,13.199027,3577378821
1/2/2010,13.315092,13.636387,12.951455,13.12082,13.12082,2089173495
1/3/2010,13.180596,14.65208,13.144232,14.125056,14.125056,3363548325
1/4/2010,14.230411,14.890188,12.977109,13.093423,13.093423,2933394020
1/5/2010,13.113348,13.273249,11.457056,12.095413,12.095413,3274676457
1/6/2010,11.965899,12.683708,11.076483,11.082211,11.082211,2403503278
1/7/2010,11.090679,12.391055,10.800268,12.075986,12.075986,2782791635
1/8/2010,12.1791,12.667519,11.149459,11.208488,11.208488,2122132569
1/9/2010,11.332025,13.371132,11.270256,13.095664,13.095664,2396990959
1/10/2010,13.200521,15.560177,12.922812,15.285207,15.285207,3185812619
1/11/2010,15.335768,15.712356,13.781095,13.840871,13.840871,2346438185
1/12/2010,14.02244,15.118333,14.007496,14.793799,14.793799,1697747812
1/1/2011,14.856315,16.013975,14.833152,14.952953,14.952953,2408369449
1/2/2011,15.055817,15.720575,14.97761,15.277735,15.277735,1681037411
1/3/2011,15.386826,15.422692,13.730535,14.614222,14.614222,2414576630
1/4/2011,14.664036,14.824185,12.926548,13.551705,13.551705,2820199328
1/5/2011,13.591556,13.592303,12.787071,13.176113,13.176113,1819912003
1/6/2011,13.151704,13.280222,11.781341,12.612226,12.612226,2373868616
1/7/2011,12.621193,15.628919,12.612226,15.035892,15.035892,3254372638
1/8/2011,15.223439,15.330039,12.225675,13.473498,13.473498,4287032849
1/9/2011,13.468268,13.910859,12.714842,12.827918,12.827918,2353978341
1/10/2011,12.698652,15.011234,11.970133,14.760673,14.760673,3100196907
1/11/2011,14.448344,15.399778,13.980846,14.928793,14.928793,2421060842
